6715	911 Board Mtg Minutes 1-16-2002.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/1-16-02 mtg/911 Board Mtg Minutes 1-16-2002.doc	Microsoft Word 97	205312	2/7/2002 3:46:26 PM (2002-02-07 20:46:26 UTC)	256E0F04BC4C4BD42567A1F46369CA1D
7089	911 Cash Compensation Issues 12 03 01 tim.doc	source [AD1]/September11Fund/Board/2001 Mtgs/12-06-01 Mtg/911 Cash Compensation Issues 12 03 01 tim.doc	Microsoft Word 97	230400	12/4/2001 1:17:52 PM (2001-12-04 18:17:52 UTC)	C9F3777F0769A080DAF01CA0D9960329
7090	911 Cash Compensation Issues 12 03 01.doc	source [AD1]/September11Fund/Board/2001 Mtgs/12-06-01 Mtg/911 Cash Compensation Issues 12 03 01.doc	Microsoft Word 97	219648	12/3/2001 11:26:22 PM (2001-12-04 04:26:22 UTC)	7F7F4FC3A9DB6704C39EB6261075893D
7091	911 Cash Compensation Issues 12 04 01.doc	source [AD1]/September11Fund/Board/2001 Mtgs/12-06-01 Mtg/911 Cash Compensation Issues 12 04 01.doc	Microsoft Word 97	228864	12/4/2001 3:40:14 PM (2001-12-04 20:40:14 UTC)	5C8C49A22ED84F60BB6CA01641218574
7092	911 Cash Compensation Issues 12 04 final.doc	source [AD1]/September11Fund/Board/2001 Mtgs/12-06-01 Mtg/911 Cash Compensation Issues 12 04 final.doc	Microsoft Word 97	232960	12/5/2001 10:55:58 AM (2001-12-05 15:55:58 UTC)	0A78C373CEA0329F5A7815E3AEFF3496
6716	911 Cash Summary.xls	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/1-16-02 mtg/911 Cash Summary.xls	Excel 97	29184	1/10/2002 11:47:02 AM (2002-01-10 16:47:02 UTC)	A8A421B2B069E5FCFCC024AA217639A7
6823	911 Ex Comm Mtg Agenda 6-25-02.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/Ex Comm Mtg 6-25-02/911 Ex Comm Mtg Agenda 6-25-02.doc	Microsoft Word 2000	192000	6/25/2002 11:50:38 AM (2002-06-25 15:50:38 UTC)	673933EF10EA91BB453E14C2A2F64556
7138	911 Update on Development of Financial Education.doc	source [AD1]/September11Fund/Board/2002 Mtgs/04-10-02 Mtg/911 Update on Development of Financial Education.doc	Microsoft Word 97	37888	4/5/2002 2:52:00 PM (2002-04-05 19:52:00 UTC)	E0D71ADBDB962E50656BB10E138203D9
6763	Access to Financial Advice.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/4-10-02 mtg/Access to Financial Advice.doc	Microsoft Word 2000	210944	4/5/2002 3:18:32 AM (2002-04-05 08:18:32 UTC)	47572608233926A09952BCBCF9929D65
7139	Access to Legal Advice 4-04 tim clean.doc	source [AD1]/September11Fund/Board/2002 Mtgs/04-10-02 Mtg/Access to Legal Advice 4-04 tim clean.doc	Microsoft Word 97	210432	4/4/2002 3:38:36 PM (2002-04-04 20:38:36 UTC)	381D9FC1E996D9238D5DC8F4E6DBF5C3
6764	Access to Legal Advice.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/4-10-02 mtg/Access to Legal Advice.doc	Microsoft Word 2000	215552	4/2/2002 9:42:20 PM (2002-04-03 02:42:20 UTC)	49D6598DF481FC03685DB8FADB68F140
6616	ACTUAL LABELS.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/ACTUAL LABELS.doc	Microsoft Word 97	27648	11/30/2001 2:47:08 PM (2001-11-30 19:47:08 UTC)	B24EE3EE4EA58DC3EDFEEAFEED03497A
7159	admin budget slide 7-10.ppt	source [AD1]/September11Fund/Board/2002 Mtgs/07-10-02 Mtg/admin budget slide 7-10.ppt	PowerPoint 97	92672	7/3/2002 1:59:14 PM (2002-07-03 17:59:14 UTC)	08E78FA82B906D8A8C8D15E31AF26676
7195	Administrative Revenue and Expenses.doc	source [AD1]/September11Fund/Board/2003 Mtgs/03-19-03 Mtg/Administrative Revenue and Expenses.doc	Microsoft Word 97	23552	3/10/2003 10:45:36 AM (2003-03-10 15:45:36 UTC)	3FB900FC3D190E748738A52DF7B6D676
7196	agenda 03.19.03.doc	source [AD1]/September11Fund/Board/2003 Mtgs/03-19-03 Mtg/agenda 03.19.03.doc	Microsoft Word 97	24064	3/10/2003 2:56:58 PM (2003-03-10 19:56:58 UTC)	F2DBE39CCACB783888964398C2E2D6BA
7283	agenda 04.14.04.doc	source [AD1]/September11Fund/Board/2004 Mtgs/04.14.04 Mtg/agenda 04.14.04.doc	Microsoft Word 2000	25088	3/29/2004 11:38:28 AM (2004-03-29 16:38:28 UTC)	E814810630BB52E1E80A0E451F55E249
7253	agenda 10.01.03.doc	source [AD1]/September11Fund/Board/2003 Mtgs/10-01-03 Mtg/agenda 10.01.03.doc	Microsoft Word 97	24576	9/22/2003 2:14:46 PM (2003-09-22 18:14:46 UTC)	DD13FFF5D21CC8CF6331286982B69135
7265	agenda 12.10.03.doc	source [AD1]/September11Fund/Board/2003 Mtgs/12.10.03/agenda 12.10.03.doc	Microsoft Word 97	25088	12/2/2003 10:50:38 AM (2003-12-02 15:50:38 UTC)	2360D2466F093B030AB77C0086CC00F7
7297	agenda 12.8.04.doc	source [AD1]/September11Fund/Board/2004 Mtgs/12.8.04 Mtg/agenda 12.8.04.doc	Microsoft Word 2000	27648	11/23/2004 12:54:20 PM (2004-11-23 17:54:20 UTC)	3B1485B61B004DFAFB2266C2DA8F7817
7225	agenda 5.21.03.doc	source [AD1]/September11Fund/Board/2003 Mtgs/05-21-03 Mtg/agenda 5.21.03.doc	Microsoft Word 97	24064	5/13/2003 5:47:02 PM (2003-05-13 21:47:02 UTC)	1381737E1DB429FFB23C969C4358D0EA
4678	AmEx thank you.doc	source [AD1]/Jeffrie Z Allan/Board Reception/AmEx thank you.doc	Microsoft Word 2000	19456	12/9/2004 4:14:00 PM (2004-12-09 21:14:00 UTC)	D28982F7F4505B66113B779062CBC440
6617	anniv.report.blurb.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/anniv.report.blurb.doc	Microsoft Word 97	20480	7/24/2002 5:59:50 PM (2002-07-24 21:59:50 UTC)	5393F82C96D74B9FC79787AE70DCDC93
6816	anniv.report.blurb.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/anniv.report.blurb.doc	Microsoft Word 97	19968	7/31/2002 6:23:22 PM (2002-07-31 22:23:22 UTC)	40D4D1916FEACF4E3BEAAA4BB642010F
6579	anti-bias.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/Lori A Harris/911 BOD/11.6.02mtg/anti-bias.doc	Microsoft Word 97	19968	10/28/2002 12:10:44 PM (2002-10-28 17:10:44 UTC)	9B174CFC8E5BAC1FDD64C18E8DEDE4D9
6717	Appendix How Much Cost.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/1-16-02 mtg/Appendix How Much Cost.doc	Microsoft Word 97	190976	1/10/2002 6:14:42 PM (2002-01-10 23:14:42 UTC)	F62E694D09AAF523F5F959B39BCD26C1
7226	Appendix Page.doc	source [AD1]/September11Fund/Board/2003 Mtgs/05-21-03 Mtg/Appendix Page.doc	Microsoft Word 97	19456	5/14/2003 5:40:22 PM (2003-05-14 21:40:22 UTC)	8554CB25142BD4A2E05C70126BD6E559
6718	Assessing Needs and Priorities.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/1-16-02 mtg/Assessing Needs and Priorities.doc	Microsoft Word 97	229376	1/10/2002 7:22:32 PM (2002-01-11 00:22:32 UTC)	A3B6F9205DD9D0786DC4A9582F9A3BFF
7131	Assistance to Displaced Workers - one-page handout for Board meeting.doc	source [AD1]/September11Fund/Board/2002 Mtgs/02-13-02 Mtg/Assistance to Displaced Workers - one-page handout for Board meeting.doc	Microsoft Word 2000	20480	2/12/2002 5:43:20 PM (2002-02-12 22:43:20 UTC)	1B5812FF0EF29C0452F3F39E735997A6
6752	Assistance to Displaced Workers  one-page handout.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/2-13-02 Mtg/Assistance to Displaced Workers  one-page handout.doc	Microsoft Word 97	189440	2/12/2002 6:52:08 PM (2002-02-12 23:52:08 UTC)	F2E24174664E767FAC8972E1B3A52DE4
6753	Assistance to Displaced Workers.doc	source [AD1]/NYCT - Josh and Lori/All Docs/911 Files/911/September11Fund/Board/2-13-02 Mtg/Assistance to Displaced Workers.doc	Microsoft Word 97	230400	2/8/2002 1:29:50 PM (2002-02-08 18:29:50 UTC)	782CE840782C87A9177D0C57C54CD6B4
